	Location		Label
	0010dffc		NuVec4MagVU0
	0010e028		NuVec4MagSqrVU0
	0010e048		NuVec4DiffVU0
	0010e07c		NuVec4DiffSqrVU0
	0010e0a4		NuVec4NormVU0
	0010e0cc		NuVec4AddVU0
	0010e0f8		NuVec4LerpVU0
	0010e124		NuVec4ConvertToIntVU0
	0010e138		NuVec4ScaleVU0
	0010e154		NuVec4ScaleXYZVU0
	0010e170		NuVec4PersXYZVU0
	0010e1a4		NuPlnEqnVU0
	0010e250		NuPlnLineVU0
	0010e308		NuRandSetSeed
	0010e318		NuRand
	0010e3f8		NuFloatRand
	0010e4e0		NuRandFloat
	0010e558		NuRandInt
	0010e5a8		NuRandSeed
	0010e5b8		NuBezierCubicPatchEvaluatePartials
	0010e968		NuBezierCubicPatchPartialsUUVV
	0010ec98		NuBezierCubicPatchPartialsUUV
	0010eef8		NuBezierCubicPatchPartialsUVV
	0010f158		NuBezierCubicPatchPartialsUUVVV
	0010f428		NuBezierCubicPatchEvaluate
	0010f5a0		NuBezierCubicPatchPartialsU
	0010f690		NuBezierCubicPatchPartialsV
	0010f780		NuBezierCubicPatchPartialsVV
	0010f8d8		NuBezierCubicPatchPartialsVVV
	0010fa18		NuBezierCubicPatchPartialsUU
	0010fb70		NuBezierCubicPatchPartialsUUU
	0010fcb0		NuBezierQuadraticTriangleEvaluateBarycentric
	0010fd80		NuBezierQuadraticTriangleEvaluateParametric
	0010fe60		NuBezierQuadraticTrianglePartialsUU
	0010fef0		NuBezierQuadraticTrianglePartialsVV
	0010ff78		NuBezierQuadraticTrianglePartialsUeV
	110000		NuCubicToBez3
	110058		NuBez3ToCubic
	001100c0		NuBez3Subdiv
	110160		NuBez3EvaluateX
	110244		NuFsqrt
	110250		NuFrsqrt
	0011025c		NuFadda
	110268		NuFsuba
	110274		NuFmula
	110280		NuFmadd
	0011028c		NuFmadda
	110298		NuFmsuba
	001102a8		NuRndrInitStreams
	110430		NuRndrStreamInit
	110598		NuRndrStreamAllocStream
	001106e8		NuRndrStreamFlush
	110900		NuRndrStreamSetMisc
	00110cd8		NuRndrStreamSetLocalMtx
	00110db8		NuRndrSetViewMtx
	001110b8		NuRndrSetSpecularLight
	001112d0		NuStreamGetOutputBuffer
	001112e8		NuRndrSwapStreamBuffers
	111320		FaceYDirStream
	001113e8		NuRndrSetLocalMtx
	111500		NuRndrSetXYOffset
	111520		NuRndrSetScissor
	111550		NuRndrSetZFix
	001115e8		NuRndrSetDirectionalLights
	001116a0		NuRndrSetDirectionalLights4
	111760		NuRndrSetAmbientLight
	111798		NuRndrSetGlobalAlpha
	001117a0		NuRndrSetFxMtx
	111838		NuRndrStreamGetScissor
	111848		NuRndrStreamGetOffset
	111858		NuRndrStreamResetStream
	111898		NuRndrStreamResetStreams
	111918		NuRndrVu1Draw
	111988		NuRndrStreamFxMPG
	001119e8		NuRndrStreamAlloc
	00111a00		NuRndrStreamAddMtl
	00111ac8		NuRndrStreamAddTex
	00111b28		NuRndrStreamSetDirectionalLights
	00111b30		NuRndrStreamSetAmbientLight
	00111b38		NuRndrStreamSetViewMtx
	00111bd8		NuRndrStreamSetViewMtxScissorClip
	00111c48		NuRndrStreamSetLocalMtxEx
	00111d60		NuRndrStreamPrependMPG
	00111dc8		NuRndrStreamClearZBState
	00111dd0		NuRndrStreamSetZBState
	00111eb0		NuRndrStreamAddZBState
	00111f10		CheckRndrStream
	00111fc8		NuCameraSetProjectionMtx
	001121a8		NuCameraSetEx
	112860		NuCameraSaveState
	00112e78		NuCameraRestoreState
	001134c8		NuCameraCreate
	113540		NuCameraDestroy
	113568		NuCameraSetVPortClipMtx
	001136b8		NuCameraSetScissorClipMtx
	113808		NuCameraSet
	113838		NuCameraClearStateBuffer
	113840		NuCameraSetReflect
	001139c8		NuCameraSetAxes
	001139f0		NuCameraGetAxes
	00113a18		NuCameraGetCam
	00113a28		NuCameraGetMtx
	00113a38		NuCameraGetViewMtx
	00113a48		NuCameraGetProjectionMtx
	00113a58		NuCameraGetScalingMtx
	00113a68		NuCameraGetVPCSMtx
	00113a78		NuCameraGetPCMtx
	00113a88		NuCameraGetPCSMtx
	00113a98		NuCameraGetVPCMtx
	00113aa8		NuCameraGetClipMtx
	00113bc8		NuCameraTransformView
	00113cd8		NuCameraTransformPerspective
	00113de8		NuCameraTransformScreenClip
	00113ef8		NuCameraTransformScreen
	114008		NuCameraTransformScreenVU0
	114118		NuCameraClipTestExtents
	114188		NuCameraClipTestPoints
	114338		NuCameraDistSqr
	114360		NuCameraDist
	114388		NuCameraGetTrans
	001143b0		NuCameraGetClippingRatios
	001143c8		NuCameraClipTestPointVport
	001143f0		NuCameraClipTestPointScissor
	114418		NuCameraGet
	001144b8		NuCameraTransformScissorClip
	001145c8		NuCameraInitClipTestVU0
	001146d8		NuCameraScreenTestPointsVU0
	114738		NuCameraScissorTestPointsVU0
	114798		NuCameraClipTestPointsVU0
	114810		NuCameraClipTestExtentsVU0
	00114a80		NuVpUpdate
	00114ba0		NuVpSetScalingMtx
	00114c58		NuVpInit
	00114d50		NuVpRestore
	00114df0		NuVpSetPosition
	00114e18		NuVpSetSize
	00114e40		NuVpSetZRange
	00114e60		NuVpSetCentre
	00114e80		NuVpSetClipping
	00114f28		NuVpGetScalingMtx
	00114fc0		NuVpVirtualWidth
	00114fd8		NuVpVirtualHeight
	00114ff0		NuVpPixelWidth
